post,reply,comment,total,liked,test_grade,homework_grade,exam_grade,discussion_grade,final_grade,grade_level
14.0,8.0,7.0,29.0,11.0,146.0,277.58,47.32,10.0,67.77,2.0
0.0,0.0,0.0,0.0,0.0,135.5,242.0,42.5,30.0,65.21,2.0
7.0,12.0,1.0,20.0,6.0,138.5,211.58,50.0,10.0,63.21,2.0
0.0,0.0,0.0,0.0,0.0,121.5,310.0,37.5,20.0,62.81,2.0
0.0,0.0,0.0,0.0,0.0,93.0,218.5,46.5,0.0,54.28,3.0
0.0,0.0,0.0,0.0,0.0,90.64,210.5,43.82,10.0,52.52,3.0
0.0,0.0,0.0,0.0,0.0,112.14,70.5,51.0,10.0,47.28,3.0
0.0,0.0,0.0,0.0,0.0,125.28,7.0,35.0,10.0,39.87,3.0
0.0,0.0,0.0,0.0,0.0,142.64,204.25,0.0,10.0,38.79,3.0
0.0,0.0,0.0,0.0,0.0,38.0,139.75,42.14,0.0,36.61,3.0
0.0,0.0,0.0,0.0,0.0,32.64,91.25,44.0,10.0,36.14,3.0
4.0,4.0,0.0,8.0,0.0,95.82,207.84,0.0,10.0,31.77,3.0
0.0,4.0,4.0,8.0,0.0,88.32,177.0,0.0,0.0,24.75,3.0
0.0,0.0,0.0,0.0,0.0,108.0,140.0,0.0,0.0,23.5,3.0
17.0,21.0,2.0,40.0,6.0,81.0,117.66,0.0,0.0,21.55,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.16,0.0,16.58,3.0
0.0,0.0,0.0,0.0,0.0,73.5,58.84,0.0,10.0,16.48,3.0
0.0,0.0,0.0,0.0,0.0,65.82,82.0,0.0,10.0,16.35,3.0
0.0,0.0,0.0,0.0,0.0,36.32,99.67,0.0,10.0,13.94,3.0
0.0,0.0,0.0,0.0,0.0,23.5,85.66,0.0,10.0,11.86,3.0
0.0,0.0,0.0,0.0,0.0,28.0,57.75,0.0,0.0,10.74,3.0
0.0,0.0,0.0,0.0,0.0,26.0,56.5,0.0,10.0,9.67,3.0
0.0,0.0,0.0,0.0,0.0,20.64,55.5,0.0,10.0,8.71,3.0
0.0,0.0,0.0,0.0,0.0,16.0,59.0,0.0,10.0,8.65,3.0
0.0,0.0,0.0,0.0,0.0,30.0,38.5,0.0,10.0,8.6,3.0
0.0,0.0,0.0,0.0,0.0,28.32,27.25,0.0,10.0,8.34,3.0
0.0,0.0,0.0,0.0,0.0,15.82,63.0,0.0,10.0,8.32,3.0
0.0,0.0,0.0,0.0,0.0,15.0,30.5,0.0,10.0,7.89,3.0
0.0,0.0,0.0,0.0,0.0,30.0,18.0,0.0,10.0,7.75,3.0
0.0,0.0,0.0,0.0,0.0,16.0,22.5,0.0,10.0,7.53,3.0
0.0,0.0,0.0,0.0,0.0,37.0,48.75,0.0,0.0,7.38,3.0
0.0,0.0,0.0,0.0,0.0,45.98,0.0,0.0,0.0,6.87,3.0
0.0,0.0,0.0,0.0,0.0,23.82,7.5,0.0,10.0,6.48,3.0
4.0,113.0,0.0,117.0,74.0,10.0,29.5,0.0,10.0,6.14,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,3.0
0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,10.0,5.81,3.0
0.0,0.0,0.0,0.0,0.0,21.82,0.0,0.0,10.0,5.6,3.0
0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,10.0,5.33,3.0
